resume_id,job_id,variant_id,proxy_type,proxy_value,base_score,variant_score,delta
R016,JOB010,R016_CF_COLLEGE,college,Indian Institute of Technology Madras,0.512976,0.511718,-0.0012579999999999814
R016,JOB010,R016_CF_CITY,city,Bangalore,0.512976,0.512266,-0.0007099999999999884
R016,JOB010,R016_CF_DEGREE,degree,B.A. LL.B.,0.512976,0.425762,-0.08721400000000001
R016,JOB010,R016_CF_AGE,age,36,0.512976,0.512976,0.0
R016,JOB010,R016_CF_EXPERIENCE,experience,120,0.512976,0.512976,0.0
R017,JOB015,R017_CF_NAME,name,Divya Rao,0.476243,0.478251,0.0020079999999999543
R017,JOB015,R017_CF_COLLEGE,college,Indian Institute of Technology Kharagpur,0.476243,0.476659,0.00041599999999997195
R017,JOB015,R017_CF_CITY,city,Delhi,0.476243,0.475508,-0.0007350000000000412
R017,JOB015,R017_CF_DEGREE,degree,LLM,0.476243,0.40317,-0.07307300000000005
R017,JOB015,R017_CF_COURSE,course,Fine Arts / Painting,0.476243,0.477687,0.0014439999999999453
R017,JOB015,R017_CF_AGE,age,36,0.476243,0.476243,0.0
R017,JOB015,R017_CF_EXPERIENCE,experience,144,0.476243,0.476243,0.0
R018,JOB008,R018_CF_NAME,name,Rohan Gupta,0.486983,0.487294,0.0003110000000000057
R018,JOB008,R018_CF_COLLEGE,college,NIT Tiruchirappalli,0.486983,0.486107,-0.0008759999999999879
R018,JOB008,R018_CF_CITY,city,Mumbai,0.486983,0.485355,-0.0016280000000000183
R018,JOB008,R018_CF_DEGREE,degree,Diploma,0.486983,0.487934,0.0009509999999999796
R018,JOB008,R018_CF_COURSE,course,Commerce and Law,0.486983,0.417048,-0.06993500000000002
R018,JOB008,R018_CF_AGE,age,35,0.486983,0.487771,0.0007880000000000109
R018,JOB008,R018_CF_EXPERIENCE,experience,84,0.486983,0.48799,0.0010069999999999801
R019,JOB005,R019_CF_NAME,name,Ananya Iyer,0.490042,0.492049,0.0020070000000000365
R019,JOB005,R019_CF_COLLEGE,college,Indian Institute of Technology Bombay,0.490042,0.49042,0.00037800000000004497
R019,JOB005,R019_CF_CITY,city,Pune,0.490042,0.489751,-0.0002909999999999857
R019,JOB005,R019_CF_DEGREE,degree,M.Com,0.490042,0.489445,-0.0005969999999999587
R019,JOB005,R019_CF_COURSE,course,Electronics,0.490042,0.488822,-0.0012199999999999989
R019,JOB005,R019_CF_AGE,age,30,0.490042,0.490042,0.0
R019,JOB005,R019_CF_EXPERIENCE,experience,60,0.490042,0.490042,0.0
R020,JOB006,R020_CF_NAME,name,Ananya Iyer,0.652483,0.652435,-4.8000000000048004e-05
R020,JOB006,R020_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.652483,0.649392,-0.003091000000000066
R020,JOB006,R020_CF_CITY,city,Hyderabad,0.652483,0.648974,-0.0035089999999999844
R020,JOB006,R020_CF_DEGREE,degree,B.Com,0.652483,0.583172,-0.06931100000000001
R020,JOB006,R020_CF_COURSE,course,Computer Applications,0.652483,0.562154,-0.09032899999999999
R020,JOB006,R020_CF_AGE,age,29,0.652483,0.653232,0.0007489999999999997
R020,JOB006,R020_CF_EXPERIENCE,experience,53,0.652483,0.652458,-2.5000000000052758e-05
R021,JOB021,R021_CF_NAME,name,Ishita Chopra,0.417617,0.422005,0.004388000000000003
